Code, Type, Gallons, Price
2, Midgrade, 12, 25.68
1, Regular, 7.92, 16.00
1, Regular, 0.99, 2.00
3, Premium, 4.41, 10.00
1, Regular, 5.94, 12.00
1, Regular, 5.94, 12.00
1, Regular, 5.94, 12.00
1, Regular, 2.48, 5.00
1, Regular, 2.48, 5.00
1, Regular, 4.95, 10.00
1, Regular, 4.95, 10.00
1, Regular, 4.95, 10.00
1, Regular, 5, 10.10
1, Regular, 5, 10.10
1, Regular, 10, 20.20
1, Regular, 10, 20.20
1, Regular, 4.95, 10.00
2, Midgrade, 4.67, 10.00
1, Regular, 4.95, 10.00
1, Regular, 5.94, 12.00
2, Midgrade, 4.67, 10.00
3, Premium, 6.17, 14.00
3, Premium, 19.82, 45.00
3, Premium, 10.57, 24.00
3, Premium, 5.29, 12.00
3, Premium, 7.93, 18.00
1, Regular, 11, 22.22
1, Regular, 6.93, 14.00
1, Regular, 8.42, 17.00
1, Regular, 12, 24.24
2, Midgrade, 6, 13.00
2, Midgrade, 6, 13.00
2, Midgrade, 6, 13.00
3, Premium, 9, 21.00
3, Premium, 12, 27.00
3, Premium, 30, 68.00
2, Midgrade, 6, 13.00
3, Premium, 18, 41.00
1, Regular, 4, 8.00
1, Regular, 5, 10.00
1, Regular, 12, 24.00
3, Premium, 7, 15.00
1, Regular, 6, 12.00
2, Midgrade, 20, 45.00
2, Midgrade, 5, 12.00
2, Midgrade, 5, 12.00
2, Midgrade, 5, 12.00
2, Midgrade, 2, 5.00
2, Midgrade, 2, 5.00
2, Midgrade, 2, 5.00
3, Premium, 2, 5.00
2, Midgrade, 2, 5.00
2, Midgrade, 5.381165919282512, 12.00
2, Midgrade, 1.7937219730941705, 4.00
2, Midgrade, 5.381165919282512, 12.00
1, Regular, 5.769230769230769, 12.00
3, Premium, 12, 28.32
2, Midgrade, 5.381165919282512, 12.00
2, Midgrade, 5.829596412556054, 13.00
2, Midgrade, 5.829596412556054, 13.00
2, Midgrade, 5.381165919282512, 12.00
2, Midgrade, 5.381165919282512, 12.00
2, Midgrade, 5.381165919282512, 12.00
2, Midgrade, 5.381165919282512, 12.00
2, Midgrade, 5.381165919282512, 12.00
2, Midgrade, 5.381165919282512, 12.00
1, Regular, 5.769230769230769, 12.00
1, Regular, 12, 24.96
2, Midgrade, 5.381165919282512, 12.00
1, Regular, 5.769230769230769, 12.00
1, Regular, 12, 24.96
2, Midgrade, 8.97, 20.00
3, Premium, 9, 21.24
2, Midgrade, 8.97, 20.00
2, Midgrade, 12, 26.76
